feature,coef,odds_ratio,abs_coef
cat__purpose_small_business,3.7729881405964383,43.509884431669576,3.7729881405964383
cat__emp_title_owner,3.762705835761332,43.064794732036404,3.762705835761332
cat__sub_grade_C4,3.7210167231169016,41.306369907272426,3.7210167231169016
cat__sub_grade_D1,3.6873744832640547,39.93984644203403,3.6873744832640547
cat__sub_grade_C5,3.6790199865814555,39.607559106886484,3.6790199865814555
cat__emp_title_driver,3.4145247101530285,30.402495995383298,3.4145247101530285
cat__sub_grade_Other,3.3393612211225308,28.20110667934732,3.3393612211225308
cat__sub_grade_C3,3.242869111688412,25.60708604171606,3.242869111688412
cat__sub_grade_C2,2.953074473468835,19.164784867112477,2.953074473468835
num__int_rate,2.8107583951639787,16.622519878352747,2.8107583951639787
cat__sub_grade_C1,2.5648084917932525,12.998168875286638,2.5648084917932525
cat__emp_title_general manager,2.4393285717883098,11.465340005101819,2.4393285717883098
cat__purpose_home_improvement,2.259847114590036,9.581624164240003,2.259847114590036
cat__emp_title_sales,2.232770288104285,9.325665106724612,2.232770288104285
num__loan duration,2.14808687758021,8.568450212545022,2.14808687758021
cat__purpose_major_purchase,2.132916913692785,8.439448084963132,2.132916913692785
cat__sub_grade_B5,2.0718420562196345,7.939434540963049,2.0718420562196345
cat__purpose_medical,1.9908081980006909,7.321448551908862,1.9908081980006909
cat__purpose_vacation,1.9487889722222946,7.020180796703841,1.9487889722222946
cat__purpose_debt_consolidation,1.846736291263817,6.339096758992233,1.846736291263817
cat__emp_title_vice president,-1.8132745249514657,0.1631191236832945,1.8132745249514657
cat__sub_grade_B4,1.4381803951960885,4.2130228016569715,1.4381803951960885
cat__purpose_credit_card,1.4088802802691531,4.091371648728134,1.4088802802691531
cat__home_ownership_RENT,1.387077471062504,4.003133666613048,1.387077471062504
cat__purpose_house,1.2360450760515627,3.441973766078518,1.2360450760515627
num__dti,1.2283839065232387,3.4157049748598185,1.2283839065232387
num__fico_range_high,-1.2229388719236856,0.2943637969741442,1.2229388719236856
cat__purpose_other,1.0848289521658108,2.958933656258315,1.0848289521658108
cat__purpose_moving,1.0605884649826385,2.888070017382291,1.0605884649826385
cat__emp_title_manager,1.0411376313152667,2.832437451712641,1.0411376313152667
num__avg_cur_bal,-0.982276112903302,0.37445781986458854,0.982276112903302
cat__emp_title_supervisor,0.9296841472542043,2.5337087723466154,0.9296841472542043
cat__emp_title_nurse,0.6920730357656247,1.9978528637853974,0.6920730357656247
cat__emp_title_project manager,-0.6328329615570117,0.5310851240956236,0.6328329615570117
cat__home_ownership_OWN,0.632736012621707,1.8827547795973583,0.632736012621707
cat__emp_title_sales manager,0.6317014837786006,1.8808080226351087,0.6317014837786006
num__mo_sin_old_rev_tl_op,-0.5918630595652422,0.5532955014197372,0.5918630595652422
num__mort_acc,-0.5729249601817983,0.563873716098561,0.5729249601817983
cat__sub_grade_B1,-0.499687439258246,0.6067202670158858,0.499687439258246
cat__sub_grade_B3,0.4775268163503209,1.6120824918032337,0.4775268163503209
cat__purpose_renewable_energy,0.43146964502361024,1.5395184073591603,0.43146964502361024
cat__emp_length_7 years,-0.4075484969821036,0.665279186582856,0.4075484969821036
cat__emp_title_teacher,-0.3174842731534761,0.7279781294846005,0.3174842731534761
cat__emp_length_6 years,-0.25440395264839233,0.7753785225680007,0.25440395264839233
cat__emp_length_9 years,0.2196768735506908,1.2456741552827264,0.2196768735506908
cat__emp_title_other,-0.1788353252141071,0.8362435962942949,0.1788353252141071
num__bc_open_to_buy,0.1712048291875482,1.1867338018491742,0.1712048291875482
cat__emp_length_8 years,0.16252629749734085,1.1764792565020115,0.16252629749734085
cat__emp_length_4 years,-0.15161067658840838,0.8593227700971425,0.15161067658840838
cat__sub_grade_B2,0.11209782253349727,1.1186222817586609,0.11209782253349727
cat__emp_length_3 years,0.10967498493965436,1.1159153222269511,0.10967498493965436
cat__purpose_car,0.09810340111185226,1.103076838583346,0.09810340111185226
cat__emp_length_< 1 year,0.08487004801316161,1.0885755949449432,0.08487004801316161
cat__emp_length_10+ years,-0.07041753654620396,0.9320045926746344,0.07041753654620396
cat__emp_length_2 years,-0.06748323752673525,0.934743389095775,0.06748323752673525
cat__emp_length_5 years,-0.04511218154123635,0.9558902425774147,0.04511218154123635
