feature,mean_drop_auc,std_drop_auc,rank
mths_since_recent_bc,0.026654158627342737,0.0013476677036609469,1
mo_sin_rcnt_rev_tl_op,0.007619341867168838,0.00044960002171392827,2
loan_duration_parsed,0.0038675183901595634,8.588355772893116e-05,3
num_bc_tl,0.002341412019734301,0.0003005860830808137,4
home_ownership,0.0017442657052362364,0.00012863059725541775,5
bc_open_to_buy,0.001427804838352853,0.00046200968143989506,6
purpose,0.0011952266550122603,0.000508660410661693,7
mo_sin_rcnt_tl,0.000883395783158103,0.00024679406620470366,8
num_il_tl,0.0005293498881357994,0.00039783416188350753,9
inq_last_6mths,0.0003786400754088426,6.0315413307222425e-05,10
avg_cur_bal,0.0002434258091739694,6.262819625048732e-05,11
num_rev_accts,0.00016107413503096968,7.009647427695842e-05,12
delinq_2yrs,4.542221916814526e-07,3.986924985490821e-07,13
tax_liens,0.0,0.0,14
zip_code,0.0,0.0,15
emp_length,0.0,0.0,16
pub_rec,0.0,0.0,17
Pct_afro_american,0.0,0.0,18
issue_d,0.0,0.0,19
loan duration,0.0,0.0,20
fico_range_high,0.0,0.0,21
dti,0.0,0.0,22
int_rate,0.0,0.0,23
pub_rec_bankruptcies,-4.365834232645804e-05,5.0157746334059185e-05,24
revol_util,-0.00016019609154620528,4.559396199577011e-05,25
emp_length_parsed,-0.00021913324726495763,8.115793514357328e-05,26
annual_inc,-0.00041944358274917935,0.00032052339917508634,27
mo_sin_old_rev_tl_op,-0.0004217761265991937,0.00015774314203228983,28
bc_util,-0.0006360669932739982,0.00014436742413219075,29
open_acc,-0.002214854359984919,0.00028804157903070343,30
mort_acc,-0.0024166248756836263,0.00022744831265029687,31
funded_amnt,-0.003849890203734463,0.0003704975171437989,32
grade,-0.005146790531933398,0.00024586662538042525,33
num_actv_bc_tl,-0.005167784166047662,0.0005916497496999092,34
sub_grade,-0.006252666536192874,0.0003054280380957854,35
revol_bal,-0.007299373664736597,0.0005444507066830444,36
