feature,mean_drop_auc,std_drop_auc,rank
int_rate,0.050388602957957815,0.0006205828659379797,1
funded_amnt,0.025635398626106788,0.00031206440810953415,2
issue_d,0.01515771365960018,0.00037160767990621454,3
loan duration,0.013726877936435821,0.00034791864583055403,4
dti,0.00934306352608243,0.00023583636780396712,5
bc_open_to_buy,0.00832594182666091,0.00028568466182765477,6
revol_bal,0.007956376390811759,0.0002528274465950352,7
zip_code,0.007550644869165779,0.00013706918393293976,8
annual_inc,0.007184344173646528,0.00019039598636821895,9
mo_sin_old_rev_tl_op,0.006602872655560621,0.0001607830464690854,10
bc_util,0.00556423502451413,0.0001796705390240289,11
home_ownership,0.0048631096746593275,0.00017726378128564836,12
fico_range_high,0.004826423382250233,0.00021481009144027312,13
num_actv_bc_tl,0.004051976948701241,0.00016082644544622996,14
mths_since_recent_bc,0.003655484992605629,0.00011368246479343714,15
avg_cur_bal,0.0035977403820984686,0.0001334228011725102,16
mo_sin_rcnt_tl,0.003584950502836459,0.00012389835965775532,17
inq_last_6mths,0.003571704068246073,8.63253397972203e-05,18
num_il_tl,0.003345018623237328,8.393691773961437e-05,19
Pct_afro_american,0.0032869792597942206,0.00010463795507856117,20
purpose,0.0032223676032704152,0.00013711726124571627,21
revol_util,0.002755293519344071,7.653552364391391e-05,22
num_rev_accts,0.002225184023097049,7.145835035068354e-05,23
mort_acc,0.002104626617208283,0.00019179254088420744,24
sub_grade,0.0021013223474230514,4.67020697525638e-05,25
open_acc,0.002047080144828939,7.020894669097903e-05,26
emp_length_parsed,0.00185584780836624,8.532587763759832e-05,27
mo_sin_rcnt_rev_tl_op,0.0017562189063796696,5.349176115762434e-05,28
num_bc_tl,0.0012555533784995633,3.5266192063967294e-05,29
delinq_2yrs,0.0008801038866469546,3.317514128479465e-05,30
grade,0.0007943583464447568,0.00012846480642043857,31
emp_length,0.0006376870698484472,2.3733455545694216e-05,32
pub_rec,0.0005660928515427432,2.5084597014382395e-05,33
pub_rec_bankruptcies,0.00042508829462588603,3.175554262761323e-05,34
loan_duration_parsed,0.00038070214114401815,6.83065473121857e-05,35
tax_liens,0.0001610301241682155,1.7580160084433944e-05,36
